colour	x	y	key	showSelectedlegendcolour	showSelected1
#00BFC4	0.0388888888888889	0.985714285714286	initial	initial	H3K4me3_TDH_other/4
#F8766D	0.0388888888888889	0.957142857142857	improved	improved	H3K4me3_TDH_other/4
#00BFC4	0.0740740740740741	0.938271604938272	initial	initial	H3K4me3_XJ_immune/1
#F8766D	0.0972222222222222	0.796296296296296	improved	improved	H3K4me3_XJ_immune/1
#00BFC4	0.0771604938271605	0.798941798941799	initial	initial	H3K4me3_XJ_immune/2
#F8766D	0.0802469135802469	0.703703703703704	improved	improved	H3K4me3_XJ_immune/2
#00BFC4	0.0437710437710438	0.987654320987654	initial	initial	H3K4me3_XJ_immune/3
#F8766D	0.178451178451178	0.938271604938272	improved	improved	H3K4me3_XJ_immune/3
#00BFC4	0.101010101010101	0.950617283950617	initial	initial	H3K4me3_XJ_immune/4
#F8766D	0.198653198653199	0.901234567901234	improved	improved	H3K4me3_XJ_immune/4
#00BFC4	0.0583333333333333	1	initial	initial	H3K9me3_TDH_BP/1
#F8766D	0.0666666666666667	1	improved	improved	H3K9me3_TDH_BP/1
#00BFC4	0.1	1	initial	initial	H3K9me3_TDH_BP/2
#F8766D	0.171428571428571	0.975	improved	improved	H3K9me3_TDH_BP/2
#00BFC4	0.00714285714285714	1	initial	initial	H3K9me3_TDH_BP/3
#F8766D	0.00714285714285714	1	improved	improved	H3K9me3_TDH_BP/3
#00BFC4	0.0285714285714286	1	initial	initial	H3K9me3_TDH_BP/4
#F8766D	0	0.96	improved	improved	H3K9me3_TDH_BP/4
